id,label
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,1
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,0
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,1
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,0
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,1
673,1
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,1
682,0
683,1
684,1
685,0
686,0
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,1
710,0
711,0
712,0
713,1
714,0
715,1
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,1
788,1
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,1
809,0
810,0
811,1
812,0
813,0
814,1
815,0
816,0
817,1
818,0
819,1
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,1
828,1
829,0
830,0
831,0
832,1
833,0
834,1
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,1
843,1
844,1
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,1
853,0
854,0
855,1
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,0
869,1
870,1
871,0
872,1
873,1
874,0
875,1
876,1
877,0
878,0
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,1
887,1
888,0
889,1
890,0
891,0
892,0
893,0
894,1
895,1
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,1
914,0
915,1
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,1
933,1
934,1
935,0
936,0
937,1
938,1
939,0
940,1
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,1
952,0
953,1
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,0
967,1
968,1
